title,author
Cohort Query Processing,"Dawei Jiang, Qingchao Cai, Gang Chen, H.V. Jagadish, Beng Chin Ooi, Kian-Lee Tan, Anthony Tung"
Remember Where You Came From: On The Second-Order Random Walk Based Proximity Measures,"Yubao Wu, Yuchen Bian, Xiang Zhang"
IL-Miner: Instance-Level Discovery of Complex Event Patterns,"Lars George, Bruno Cadonna, Matthias Weidlich"
Adaptive NUMA-aware data placement and task scheduling for analytical workloads in main-memory column-stores,"Iraklis Psaroudakis, Tobias Scheuer, Norman May, Abdelkader Sellami, Anastasia Ailamaki"
Mostly-Optimistic Concurrency Control for Highly Contended Dynamic Workloads on a Thousand Cores,"Tianzheng Wang, Hideaki Kimura"
Effective Indexing for Approximate Constrained Shortest Path Queries on Large Road Networks,"Sibo Wang, Xiaokui Xiao, Yin Yang, Wenqing Lin"
Toward High-Performance Distributed Stream Processing via Approximate Fault Tolerance,"Qun Huang, Patrick P. C. Lee"
Path Cost Distribution Estimation Using Trajectory Data,"Jian Dai, Bin Yang, Chenjuan Guo, Christian Jensen, Jilin Hu"
Fast Hierarchy Construction for Dense Subgraphs,"Ahmet Erdem Sarıyüce, Ali Pinar"
Sapprox: Enabling Efficient and Accurate Approximations on Sub-datasets with Distribution-aware Online Sampling,"Xuhong Zhang, Jun Wang, Jiangling Yin, Shouling Ji"
Multi-Query Optimization for Subgraph Isomorphism Search,"Xuguang  Ren, Junhu Wang"
Efficient Computation of Feedback Arc Set at Web-Scale,"Michael Simpson, Venkatesh Srinivasan, Alex Thomo"
A Declarative Query Processing System for Nowcasting,"Dolan Antenucci, Michael Anderson, Michael Cafarella"
NG-DBSCAN: Scalable Density-Based Clustering for Arbitrary Data,"Alessandro Lulli, Matteo Dell'Amico, Pietro Michiardi, Laura Ricci"
Interactive Time Series Exploration Powered by the Marriage of Similarity Distances,"Rodica Neamtu, Ramoza Ahsan, Elke Rundensteiner, Gabor Sarkozy"
Computing Longest Increasing Subsequences over Sequential Data Streams,"Youhuan Li, Lei Zou, Huaming Zhang, Dongyan Zhao"
Knowledge Exploration using Tables on the Web,"Fernando Chirigati, Jialu Liu, Flip Korn, You Wu, Cong Yu, Hao Zhang"
HubPPR: Effective Indexing for Approximate Personalized PageRank,"Sibo Wang, Youze Tang, Xiaokui Xiao, Yin Yang, Zengxiang Li"
Scalable Distributed Subgraph Enumeration,"Longbin Lai, Lu Qin, Xuemin Lin, Ying Zhang, Lijun Chang"
Fast Algorithm for the Lasso based L1-Graph Construction,"Yasuhiro Fujiwara, Yasutoshi Ida, Junya Arai, Mai Nishimura, Sotetsu Iwamura"
Resisting Tag Spam by Leveraging Implicit User Behaviors,"Ennan Zhai, Zhenhua Li, Zhenyu Li, Fan Wu, Guihai Chen"
A General Framework for Estimating Graphlet Statistics via Random Walk,"Xiaowei Chen, Yongkun Li, Pinghui Wang, John C.S. Lui"
Fast In-Memory SQL Analytics on Typed Graphs,"Chunbin Lin, Benjamin Mandel, Yannis Papakonstantinou, Matthias Springer"
Stochastic Data Acquisition for Answering Queries as Time Goes by,"Zheng Li, Tingjian Ge"
Finding Persistent Items in Data Streams,"Haipeng Dai, Muhammad Shahzad, Alex X. Liu, Yuankun Zhong"
BlueCache: A Scalable Distributed Flash-based Key-value Store,"Shuotao Xu, Sungjin Lee, Sang-Woo Jun, Ming Liu, Jamey Hicks, Arvind"
A General and Parallel Platform for Mining Co-Movement Patterns over Large-scale Trajectories,"Qi Fan, Dongxiang Zhang, Huayu Wu, Kian-Lee Tan"
VIP-Tree: An Effective Index for Indoor Spatial Queries,"Zhou Shao, Muhammad Cheema, David Taniar, Hua Lu"
Write-Behind Logging,"Joy Arulraj, Matthew Perron, Andrew Pavlo"
The TileDB Array Data Storage Manager,"Stavros Papadopoulos, Kushal Datta, Samuel Madden, Timothy Mattson"
DOCS: Domain-Aware Crowdsourcing System,"Yudian Zheng, Guoliang Li, Reynold Cheng"
Lifting the Haze off the Cloud: A Consumer-Centric Market for Database Computation in the Cloud,"Yue Wang, Alexandra Meliou, Gerome Miklau"
"Two Birds, One Stone: A Fast, yet Lightweight, Indexing Scheme for Modern Database Systems","Jia Yu, Mohamed Sarwat"
History is a mirror to the future: Best-effort approximate complex event matching with insufficient resources,"Zheng Li, Tingjian Ge"
PHyTM: Persistent Hybrid Transactional Memory,"Hillel Avni, Trevor Brown"
Skipping-oriented Partitioning for Columnar Layouts,"Liwen Sun, Michael Franklin, Jiannan Wang, Eugene Wu"
Estimating Quantiles from the Union of Historical and Streaming Data,"Sneha Singh, Divesh Srivastava, Srikanta Tirthapura"
Clay: Fine-Grained Adaptive Partitioning for General Database Schemas,"Marco Serafini, Rebecca Taft, Aaron J. Elmore, Andrew Pavlo, Ashraf Aboulnaga, Michael Stonebraker"
Effortless Data Exploration with zenvisage: An Expressive and Interactive Visual Analytics System,"Tarique Ashraf Siddiqui, Albert Kim, John Lee, Karrie Karahalios, Aditya Parameswaran"
MapReduce and Streaming Algorithms for Diversity Maximization in Metric Spaces of Bounded Doubling Dimension,"Matteo Ceccarello, Andrea Pietracaprina, Geppino Pucci, Eli Upfal"
Plausible Deniability for Privacy-Preserving Data Synthesis,"Vincent Bindschaedler, Reza Shokri, Carl Gunter"
An Experimental Comparison of Partitioning Strategies in Distributed Graph Processing,"Shiv Verma, Luke Leslie, Yosub Shin, Indranil Gupta"
Shrink - Prescribing Resiliency Solutions for Streaming,"Badrish Chandramouli, Jonathan Goldstein"
Distributed Join Algorithms on Thousands of Cores,"Claude Barthels, Gustavo Alonso, Torsten Hoefler, Timo Schneider, Ingo Müller"
Clue-based Spatio-textual Query,"Junling Liu, Ke Deng, Huanliang Sun, Yu Ge, Xiaofang Zhou, Christian Jensen"
Truth Inference in Crowdsourcing: Is the Problem Solved?,"Yudian Zheng, Guoliang Li, Yuanbing Li, Caihua Shan, Reynold Cheng"
An Evaluation of Distributed Concurrency Control,"Rachael Harding, Dana Van Aken, Andrew Pavlo, Michael Stonebraker"
KBQA: Learning Question Answering over QA Corpora and Knowledge Bases,"Wanyun Cui, Yanghua Xiao, Haixun Wang, Yangqiu Song, Seung-won Hwang, Wei Wang"
Provenance for Natural Language Queries,"Daniel Deutch, Nave Frost, Amir Gilad"
AdaptDB: Adaptive Partitioning for Distributed Joins,"Yi Lu, Anil Shanbhag, Alekh Jindal, Samuel Madden"
An Experimental Evaluation of SimRank-based Similarity Search Algorithms,"Zhipeng Zhang, Yingxia Shao, Bin Cui, Ce Zhang"
High Performance Transactions via Early Write Visibility,"Jose Faleiro, Daniel Abadi, Joseph Hellerstein"
ZooBP: Belief Propagation for Heterogeneous Networks,"Dhivya Eswaran, Stephan Guennemann, Christos Faloutsos, Disha Makhija, Mohit Kumar"
Understanding the Sparse Vector Technique for Differential Privacy,"Min Lyu, Dong Su, Ninghui Li"
OLAK: An Efficient Algorithm to Prevent Unraveling in Social Networks,"Fan Zhang, Wenjie Zhang, Ying Zhang, Lu Qin, Xuemin Lin"
Data Tweening: Incremental Visualization of Data Transforms,"Meraj Ahmed Khan, Larry Xu, Arnab Nandi, Joseph Hellerstein"
SMCQL: Secure Query Processing for Private Data Networks,"Johes Bater, Greg Elliott, Craig Eggen, Satyender Goel, Abel Kho, Jennie Rogers"
The End of a Myth: Distributed Transaction Can Scale,"Erfan Zamanian, Carsten Binnig, Tim Kraska, Tim Harris"
NED: An Inter-Graph Node Metric Based On Edit Distance,"Haohan Zhu, Xianrui Meng, George Kollios"
Effective Community Search over Large Spatial Graphs,"Yixiang Fang, Reynold Cheng, Xiaodong Li, Siqiang Luo, Jiafeng Hu"
Effective and Complete Discovery of Order Dependencies via Set-based Axiomatization,"Jaroslaw Szlichta, Parke Godfrey, Lukasz Golab, Mehdi Kargar, Divesh Srivastava"
Adaptive Work Placement for Query Processing on Heterogeneous Computing Resources,"Tomas Karnagel, Dirk Habich, Wolfgang Lehner"
LFTF: A Framework for Efficient Tensor Analytics at Scale,"Fan Yang, Fanhua Shang, Yuzhen Huang, James Cheng, Jinfeng Li, Yunjian Zhao, Ruihao Zhao"
Local Search Methods for k-Means with Outliers,"Shalmoli Gupta, Ravi Kumar, Kefu Lu, Benjamin Moseley, Sergei Vassilvitskii"
Dimensional Testing for Reverse k-Nearest Neighbor Search,"Guillaume Casanova, Elias Englmeier, Michael Houle, Peer Kroeger, Michael Nett, Erich Schubert, Arthur Zimek"
An Empirical Evaluation of In-Memory Multi-Version Concurrency Control,"Yingjun Wu, Joy Arulraj, Jiexi Lin, Ran Xian, Andrew Pavlo"
"Finding Diverse, High-Value Representatives on a Surface of Answers","You Wu, Junyang Gao, Pankaj Agarwal, Jun Yang"
Real-Time Influence Maximization on Dynamic Social Streams,"Yanhao Wang, Qi Fan, Yuchen Li, Kian-Lee Tan"
From Community Detection to Community Profiling,"Hongyun Cai, Vincent Zheng, Fanwei Zhu, Kevin Chen-Chuan Chang, Zi Huang"
"Understanding Workers, Developing Effective Tasks, and Enhancing Marketplace Dynamics: A Study of a Large Crowdsourcing Marketplace","Ayush Jain, Akash Das Sarma, Aditya Parameswaran, Jennifer Widom"
One-Pass Error Bounded Trajectory Simplification,"Xuelian Lin, Shuai Ma, Han  Zhang, Tianyu Wo, Jinpeng Huai"
MILC: Inverted List Compression in Memory,"Jianguo Wang, Chunbin Lin, Ruining He, Moojin Chae, Yannis Papakonstantinou, Steven Swanson"
Cümülön-D: Data Analytics in a Dynamic Spot Market,"Botong Huang, Jun Yang"
Automatic Algorithm Transformation for Efficient Multi-Snapshot Analytics on Temporal Graphs,"Manuel Then, Timo Kersten, Stephan Guennemann, Alfons Kemper, Thomas Neumann"
Looking Ahead Makes Query Plans Robust,"Jianqiao Zhu, Navneet Potti, Saket Saurabh, Jignesh Patel"
